Model,MAE,RMSE,R2 Score
Decision Tree,1.0972652777777776,2.1037579691509674,0.8282794954474101
Linear Regression,1.4725457508176614,2.5245049230012353,0.7527233824221741
Random Forest,1.5125423536155185,3.629263603773391,0.48894500850895595
